timestamp_pixel,FHR_BPM,TOCO_PERCENT
317,149.2,6.2
318,149.6,5.9
319,148.9,6.3
320,148.9,5.7
321,149.6,4.5
322,150.3,5.0
323,149.3,5.6
324,151.4,5.9
325,150.9,6.5
326,150.5,7.6
327,150.7,8.2
328,150.2,10.6
329,149.8,12.2
330,150.2,13.6
331,151.4,16.2
332,149.2,16.7
333,149.5,18.1
334,149.4,18.9
335,149.3,21.1
336,150.7,22.1
337,145.9,22.4
338,142.9,23.3
339,144.4,25.3
340,143.8,26.3
341,142.4,26.7
342,140.0,28.8
343,139.5,28.6
344,139.1,30.1
345,141.7,32.0
346,135.5,32.3
347,127.9,33.8
348,127.1,34.7
349,125.6,36.2
350,122.2,38.6
351,118.9,39.7
352,113.6,42.0
353,109.8,42.1
354,107.2,39.8
355,107.6,35.6
356,107.6,32.6
357,108.3,30.6
358,110.8,30.6
359,111.8,26.8
360,114.4,26.2
361,123.5,24.1
362,131.6,23.6
363,133.9,22.6
364,136.5,21.5
365,135.7,20.9
366,135.4,19.7
367,133.0,18.5
368,128.6,18.2
369,129.0,17.6
370,128.8,17.8
371,130.1,16.8
372,132.1,17.0
373,135.3,16.4
374,135.4,15.6
375,135.4,15.5
376,136.9,16.3
377,135.6,15.8
378,139.5,15.3
379,139.9,15.6
380,141.0,15.3
381,142.9,15.3
382,143.6,15.9
383,144.7,18.6
384,144.3,19.1
385,144.5,18.5
386,142.9,17.9
387,142.6,17.4
388,144.4,18.2
389,143.6,18.8
390,144.4,19.5
391,144.2,19.7
392,144.2,21.2
393,144.7,22.3
394,145.5,23.0
395,146.6,22.6
396,141.7,24.2
397,141.7,24.3
398,144.0,25.6
399,143.1,26.2
400,140.2,27.4
401,139.5,28.2
402,137.6,29.1
403,135.5,32.1
404,129.9,33.8
405,127.3,33.2
406,121.4,32.1
407,116.4,31.0
408,116.3,29.4
409,113.6,29.7
410,112.7,29.7
411,112.9,31.4
412,111.4,33.5
413,107.6,34.4
414,108.2,34.4
415,108.0,34.2
416,106.8,33.7
417,105.3,32.0
418,104.1,30.9
419,101.8,29.8
420,99.4,29.5
421,97.1,28.4
422,93.5,26.0
423,94.1,25.6
424,95.1,24.1
425,102.7,21.9
426,110.6,20.3
427,121.0,20.3
428,127.6,19.4
429,133.0,17.4
430,136.5,15.0
431,136.1,16.2
432,134.2,15.6
433,138.4,14.4
434,138.7,14.1
435,137.9,13.8
436,133.3,13.6
437,133.1,13.5
438,134.2,13.5
439,134.8,12.6
440,137.6,12.0
441,138.0,12.6
442,139.1,11.8
443,135.7,11.5
444,133.1,8.8
445,138.0,8.8
446,138.8,9.5
447,136.8,8.5
448,135.4,7.4
449,135.4,7.5
450,138.7,7.1
451,142.8,6.8
452,145.1,7.1
453,146.3,8.0
454,143.8,7.9
455,144.7,10.0
456,144.4,10.5
457,141.0,10.0
458,141.4,9.7
459,138.8,7.9
460,136.3,7.9
461,136.1,9.0
462,137.5,12.1
463,138.0,12.7
464,141.6,13.9
465,142.7,13.5
466,144.7,12.6
467,146.2,11.9
468,144.6,11.8
469,147.1,11.8
470,144.4,12.2
471,147.5,10.2
472,144.9,10.6
473,147.6,11.0
474,146.6,11.5
475,148.0,12.7
476,145.3,12.6
477,146.6,12.8
478,147.9,11.5
479,146.3,10.9
480,146.4,11.2
481,145.9,13.2
482,146.2,15.3
483,145.1,15.3
484,145.1,14.4
485,146.7,13.5
486,145.1,12.5
487,146.9,10.6
488,149.8,8.5
489,148.9,7.9
490,139.5,10.6
491,139.9,16.8
492,141.8,20.9
493,145.1,21.0
494,145.5,22.6
495,145.0,22.4
496,145.5,22.3
497,143.7,23.5
498,146.1,23.0
499,145.7,23.4
500,144.4,23.4
501,143.4,24.1
502,142.9,24.4
503,143.2,25.6
504,142.1,24.1
505,140.6,26.4
506,140.8,32.0
507,139.4,34.4
508,138.5,34.4
509,136.5,32.9
510,134.6,32.9
511,132.4,32.8
512,132.3,32.2
513,130.2,31.6
514,125.8,31.1
515,123.7,30.9
516,122.6,29.7
517,121.7,29.3
518,119.8,27.4
519,114.8,22.4
520,113.6,20.3
521,110.6,20.3
522,108.3,19.7
523,102.9,19.6
524,97.1,19.2
525,90.3,20.1
526,85.2,19.8
527,81.2,19.4
528,80.6,19.4
529,82.9,20.6
530,85.8,20.6
531,90.9,20.0
532,96.2,16.6
533,100.3,15.6
534,106.1,15.3
535,109.5,14.4
536,114.6,13.5
537,115.9,16.2
538,114.1,17.7
539,110.3,19.7
540,109.9,21.2
541,110.2,21.8
542,108.3,20.7
543,108.0,20.9
544,109.5,20.6
545,111.6,19.4
546,114.4,18.8
547,118.9,17.4
548,119.6,15.8
549,115.5,16.2
550,115.9,16.1
551,117.8,16.2
552,118.3,15.3
553,120.2,15.3
554,123.2,15.3
555,124.2,15.5
556,125.8,14.6
557,128.0,14.3
558,132.6,14.6
559,134.5,15.1
560,136.8,14.2
561,137.0,14.8
562,139.1,15.2
563,138.5,14.4
564,140.3,14.9
565,141.7,15.2
566,142.1,16.5
567,142.9,16.0
568,143.4,16.8
569,140.1,16.8
570,139.1,16.4
571,138.4,14.4
572,138.4,14.2
573,141.7,14.3
574,141.7,14.6
575,144.6,13.8
576,144.7,13.2
577,144.4,12.6
578,140.0,12.6
579,138.4,11.5
580,142.5,11.5
581,139.9,10.9
582,138.4,10.1
583,136.8,9.9
584,136.9,9.4
585,136.9,9.4
586,143.6,9.1
587,144.0,9.1
588,140.4,8.5
589,139.1,8.5
590,138.4,7.9
591,139.9,6.8
592,138.7,7.4
593,138.4,8.2
594,144.4,8.8
595,148.1,10.3
596,143.9,10.6
597,138.7,10.9
598,138.0,11.8
599,138.1,12.3
600,139.0,12.9
601,140.2,12.7
602,140.2,12.9
603,139.7,11.5
604,142.1,11.1
605,142.9,10.9
606,141.8,10.9
607,142.5,11.5
608,142.8,11.0
609,143.9,10.9
610,143.6,10.8
611,144.4,11.5
612,143.7,11.5
613,141.7,11.5
614,143.7,11.5
615,143.4,11.5
616,140.3,11.6
617,140.6,11.5
618,141.8,9.4
619,141.4,9.7
620,140.6,10.3
621,142.1,10.6
622,143.4,9.3
623,145.8,8.4
624,148.4,6.9
625,149.9,7.4
626,152.4,7.6
627,155.4,5.6
628,155.3,5.3
629,157.6,5.0
630,160.3,5.9
631,161.7,6.2
632,160.9,7.6
633,158.8,3.2
634,152.9,3.2
635,149.3,6.0
636,147.4,10.6
637,147.7,10.9
638,146.6,11.1
639,147.4,10.9
640,144.4,10.9
641,144.0,9.4
642,139.9,9.4
643,134.5,10.9
644,130.5,10.9
645,129.1,10.9
646,125.9,10.9
647,124.5,10.5
648,123.4,10.9
649,125.8,10.6
650,129.1,10.9
651,132.7,11.5
652,132.4,11.2
653,129.9,10.6
654,122.0,9.7
655,112.2,12.1
656,103.9,10.4
657,97.5,9.1
658,95.2,9.7
659,96.0,7.6
660,97.0,6.1
661,101.4,5.9
662,103.4,5.6
663,106.0,4.1
664,109.4,4.1
665,113.5,3.5
666,117.6,5.2
